Stranica,Tekst
7v,"<p>Messer, kako da bi rekao naški Daj meni taj nož. Zato pazi da se ne vladaš po našemu jeziku mlogo kada hoćeš njemački govoriti. Istina jest da kada ti veliš Daj mi nož, da ti razumiješ ’koji god nož’, ali u njemačkomu ne more se tako reći, nego valja vazda nadodati das ili ein.</p><p>Kada, dakle, počmeš učiti ovo što je u knjižici zapisano, onda pazi dobro koje ime kakvi ima pridstavak iliti članak, to jest ono gori rečeno der, die, das, ein ili eine. Der zlamenuje muško kolino, die žensko, a das ni jedno ni drugo; na priliku: der Mensch – ovaj čovik, die Frau – ova žena, das Vieh – ovo mar-</p>"
8r,"<p>vinče. Eto vidiš kako se može razaznati pleme u našem i u njemačkom jeziku. Ali nemoj se služiti s tim naukom po našemu jeziku tako da govoriš ono njemački u istomu plemenu, jerbo u našemu ima imena koja su muškoga plemena, a u njemačkomu jeziku jesu ženskoga ili nijednoga plemena. Na priliku, mi velimo ovaj ili ovi miš, a Njemac veli die Maus; mi velimo ova vatra, a Njemac das Feuer; mi velimo ovo vino, a Njemac veli der Wein; ova rakija – der Brandwein.</p><p>Zabiliži, dakle, dobro ovo samo da se ne služiš u govore-</p>"
8v,"<p>nju njemačkomu gledajući na članke naše, to jest na ove pridstavke: ovaj ili ovi, ova, ovo, ti, ta, to, jerbo more se dogoditi da u našem govorenju veli se ovi, a u njemačkom ovo ili ova. Treći pak članak ili pridstavak koji zlamenuje nijedno pleme jest ovo, a njemački das; ili naški to, a njemački das, udaraju se na mlogo načina, kako na priliku: ovo marvinče, goveče, tele, kljuse – njemački das Vieh, das Kalb i ostalo. Ali osobito u govorenju od pitanja i zapovidanja udaraju se med sobom, kako na priliku kada pitaš Tko je ovo učinio?, Njemac veli Wer hat das gethan?; Tko je to rekao? – Wer hat das gesagt?; Nosi to tamo! – Trage das hin!; Ostavi to! – Laß stehen das!</p>"
9r,"<p>Prvo, dakle, nego započmeš govoriti, valja da ova gori rečena dobro zapamtiš.</p><p>Što se, pak, dotiče riči (valja da dobro zapamtiš što je rič), u ovima vladaju ovi pridstavci: ja, ti, on; mi, vi, oni; njemački: ich, du, er; wir, ihr, sie. Na priliku: ja idem, ti ideš, on ide – ich gehe, du gehest, er gehet; mi idemo, vi idete, oni idu – wir gehen, ihr gehet, sie gehen. Zato da znadeš da u njemačkom jeziku ne moreš onako same riči reći kako u našemu; na priliku, ti veliš: idem, radim, skačem, a Njemac veli: ich gehe – ja idem, ich arbeite – ja radim, ich springe – ja skačem, i tako ostalo. Pazi, dakle, da se ni u ričma ne služiš našim običajem, nego zapamti dobro ova gori spomenuta.</p>"
9v,"<p>Znadem da će se mlogo od vas naći, od vas velim koji niste u velikih skula bili, koji nećete znati nikojih slova koja su sama u ovoj knjižici ili drugima koje uzštijete. Zato, evo, ovdi mećem zlamenovanje koje dobro u glavu primi i nemoj mi dosaditi opet s pitanjem.</p><p>Dakle, kada najdeš u ovoj ili u drugoj knjigi ovo slovo N samo ili dvoje N. N., ovo zlamenuje ime i priimenak čovika od koga se govori ili piše. Ako li se, pak, govori ili piše od vilaeta, grada, sela ili dostojanstva, onda valja ono isto imenovati što se po N. N. razumije.</p><p>Ako najdeš, pak, ova dva slova &amp;c, to zlamenuje i ostalo.</p><p>Ako najdeš gdigod ova tri, to zlamenuje da ono govorenje nije do-</p>"
10r,"<p>vršeno i da ondi ima se štogod nadometnuti.</p><p>Ako najposli najdeš u knjigi drugoj NB, ovo zlamenuje kako da bi rekao zabiliži dobro.</p><p>Z. E. zlamenuje: na priliku</p><p>i. e. h. e. zlamenuje: to jest</p><p>h. a. a. c. zlamenuje: ove godine</p><p>P. S. zlamenuje: posli pisano, i ovo se običaje u listih naoditi.</p><p>Osim ovih zlamenja imadu nikoja koja se naode u knjiga i u pismu. I ova jesu po ovi način: ! ? ; , : . Ovo prvo – ! – onda se meće u pismu kada se piše od čudenja, na priliku: Čudim se da ne mogu ozdraviti! ili Haj, brate, te zašto si me zaboravio! Ali da bolje iztolmačim: zlamenuje podvikanje</p>"
10v,"<p>kako kada se piše ovako – Idi prez traga!</p><p>Drugo ? – ovo zlamenuje upitanje, na priliku kada ti pišeš drugomu i pitaš za koju stvar ovako: Je li moja žena živa?, Je li godina plodna? &amp;c. Treće ; – ovo zlamenuje da govorenje nije svršeno do kraja.</p><p>Četvrto , – ovo zlamenuje razdilenje govorenja, kako kada pišeš: Ja bi se rad oženio, ali nejmam troška. I meće se u pismu prvo i, kako kada pišeš: Moja žena, i sestra, i dijete.</p><p>Peto : – ovo zlamenuje da se ima jošt štogod govoriti, na priliku: Meni je rečeno: idi. Dojde žena, te mi reče: B[i]ž, idi odtuda. Rekao mi je: Sidi smirom.</p>"
11r,"<p>Šesto . – ovo zlamenuje dovršenje govorenja, na priliku: Ja sam, fala Bogu, zdrav. Ja tebe poštujem.</p><p>Kada, dakle, pišeš, nemoj vezati govorenja s govorenjem ni riči s ričima, nego onako piši kako govoriš, razdiljujući govorenje s gori rečenih zlamenjih.</p><p>Ali budući da se ne uzdržaje dobro i pravo pisanje u samih ovih zlamenjih nego i u slovih, zato pamti ovi nauk.</p><p>Sva <term corresp=""#imenica"">imena</term> vlastita, to jest ona koja jednu osobitu stvar zlamenuju, kakonoti Bog, Anđel, Duh, Čovik, Žena, Petar, Paval i ostala, imaju se vazda velikim slovom na početku upisati.</p>"
11v,"<p>Imena također zemlje ili vilaeta, grada, varoša, sela, vode ili rijeke i sva ona koja se osobito spominjaju u pisanju.</p><p>Riči također one koje se na početku meću i svagdi gdi god je ovo . zlamenje, valja upisati velikim slovom.</p><p>To da bolje razumiješ, motri dobro kada knjige štiješ, kako je u knjiga metnuto jer mlogo ima i od onih koji su po skula hodili, ali ne po dubokih, koji namisto maloga meću veliko, a namisto velikoga malo slovo. Zato ti zabiliži dobro što hoće reći ime vlastito, pak nemoj metniti u pismu tvomu: ja Ne znam, ja Molim, ja sam Bio kod kuće; ja bi Rad Znati, ja Govorim, ja Pišem i ostale riči proste, nego piši ovako: Ja sam bio kod Kuće, </p>"
12r,"<p>Ja bi rad znati, ja govorim, pišem, idem i ostalo. Samo, pak, ovo zabiliži da na početku govorenja iliti pisanja slovo uvik metneš veliko i za ovim . zlamenjem.</p><p>Evo ti prilika. </p><p>Ja N. N. pozdravljam mojega drago[ga] Oca Petra Srebrović, Mater moju Anu, Brata Iliju, i Antuna, moju Dragu Zaručnicu Jelicu, moje Sinove, i Sinovce, Kćeri moje drage, i Sinovice, i sve moje domaće, ili kućane. Dajem mojemu Ocu na znanje, da sam (Fala Bogu) zdrav, i živ. Molim moga dragoga Oca da mi odpiše na ovi List, i da mi dade na znanje jesu li svi domaći zdravi, i živi. Pozdravljam moga Ujaka N., Ujnu N., i Ujčiće; Prijatelja N., i Prijateljicu N., i komšiju N., i svu moju Rodbinu, Kumove, i znance moje.</p>"
12v,"<p>Eto, vidi kako se razdiljuje govorenje! Nemoj, dakle, kada pišeš sve u jednu hrpu strpati, nego razdiljuj rič od riči, a govorenje od govorenja, da oni koji uzštije, može razumiti.</p><p>Ono što sam gori metnio N., razumije se da posli imena metneš ono ovakovo , zlamenje da se ne smeta jedna rič s drugom.</p><p>Još bi ti imao trideset nauka dati, ali nesta mi veće papira i veće mi sustala bijaše ruka pišući. Zato priporučujem ti pomnju osobitu, s kojom ćeš ti to nadoknaditi. I molim te da mi oprostiš ako gdi najdeš rič ili slovo naopako.</p>"
1,<p>IMENOVANJA</p><p>STVARI </p><p>u jezik</p><p>ilirski i njemački</p><p>Od Boga i stvari duhovnih</p><p> Bog Der Gott</p><p>Bog Otac Gott der Vater</p><p>Bog Sin Gott der Sohn</p><p>Bog Duh Sveti Gott der heilige Geist</p>
2,"<p>tri kipa die drey Personen</p><p>jedan bog ein einiger Gott</p><p>Svemogući der Allmächtige</p><p>Stvoritel der Schöpfer</p><p>Odkupitel der Erlöser</p><p>Spasitel der Seligmacher</p><p>muka Isukrstova das Leiden Christi</p><p>Uskrsnutje Isukrstovo die Auferstehung Christi</p><p>Uzašastje, Spasovdan die Himmelfahrt</p><p>utišitel der Tröster</p><p>posvetitel der Heiligmacher</p><p>stvaranje die Schöpfung</p><p>odkupljenje die Erlösung</p><p>posvećenje die Heiligung</p><p>anđel der Engel</p><p>arkanđel der Erz-Engel</p><p>nebo der Himmel</p>"
3,"<p>raj das Paradies</p><p>pakal, pakao die Hölle</p><p>čistilo ili muke od očistenja das Fegfeuer</p><p>djavao, djaval der Teufel</p><p>utvara das Gespenst</p><p>krstjanluk das Christenthum</p><p>krstjanin ein Christ</p><p>Čifutin ein Jude</p><p>Turčin ein Türke</p><p>neznabožac ein Heyde</p><p>rimski katoličanin ein Römisch Catholischer</p><p>luteran ein Lutheraner</p><p>kalvin ein Reformi[e]rter</p><p>Sveto pismo die heilige Schrift</p><p>Biblije die Bibel</p><p>evanđelje das Evangelien Buch</p>"
4,<p>deset Božjih zapovidi die zehen Gebote Gottes</p><p>oče naš das Vatter Unser</p><p>virovanje der christliche Glaube</p><p>svet[i] sakramenti die heiligen Sacramenta</p><p>krstenje die Taufe</p><p>krizmanje die Firmung</p><p>pričestenje das heilige Abendmahl</p><p>ispovid die Beichte</p><p>poslidnja pomast die letzte Oelung</p><p>Blažena Divica Marija die Jungfrau Maria</p><p>Mati Božja die Mutter Gottes</p><p>apostoli die Apostel</p><p>spasenje die Seligkeit</p>
5,<p>spasen biti Selig werden</p><p>Od svijeta</p><p>svijet die Welt</p><p>sunce die Sonne</p><p>misec der Mond</p><p>zvizda die Sterne</p><p>pomrčanje eine Finsterniβ</p><p>vatra das Feuer</p><p>zrak die Luft</p><p>voda das Wasser</p><p>zemlja die Erde</p><p>prah der Staub</p><p>pijesak der Sand</p><p>more das Meer</p><p>kap ein Tropfen</p><p>vodeno vrelo ili vrućak eine Wasserquelle</p><p>potop vodeni obćenski die Sündfluth</p>
6,"<p>potop od rijeke eine Ueberschwemmung</p><p>vitar, vjetar der Wind</p><p>trešnja zemlje ein Erdbeben</p><p>kiša der Regen</p><p>duga der Regenbogen</p><p>snijeg der Schnee</p><p>oluja, bura das Ungewitter</p><p>munja der Blitz</p><p>grom der Donner</p><p>trijesak der Donnerschlag</p><p>oblak die Wolke</p><p>magla der Nebel</p><p>rosa der Thau</p><p>mraz der Reif</p><p>tuča, led der Hagel</p><p>Od vrimena</p><p>vrime die Zeit</p><p>dan der Tag</p>"
7,"<p>noć die Nacht</p><p>poludne, podne der Mittag</p><p>polnoći die Mitternacht</p><p>jutro der Morgen</p><p>večer der Abend</p><p>sat, ura die Stunde</p><p>četvrt ure eine viertel Stunde</p><p>pol sata eine halbe Stunde</p><p>tri četvrta sata drey viertel Stunden</p><p>danas heute</p><p>sutra morgen</p><p>prikosutra übermorgen</p><p>jučer gestern</p><p>prikojučer ehegestern</p><p>večeras diesen Abend</p><p>ovoga jutra, jutros diesen Morgen</p>"
8,<p>jutro die Morgen-Zeit</p><p>večer die Abend-Zeit</p><p>tjedan eine Woche</p><p>14 dana Vierzehen Tage</p><p>tri tjedna drey Wochen</p><p>misec dana ein Monat</p><p>godina dana ein Jahr</p><p>pramalitje der Frühling</p><p>lito der Sommer</p><p>jesen der Herbst</p><p>zima der Winter</p><p>dan svetčani ein Fest-Tag</p><p>dan posleni ein Werk-Tag</p><p>zora die Morgenröthe</p><p>svanu es ist Tag</p><p>smrče se es ist Nacht</p><p>kisne ili kiša pada es regnet</p><p>snijeg pada es schneyet</p>
9,"<p>tuča pada es hagelt</p><p>grmi es donnert</p><p>Od dana u tjednu</p><p>nedilja der Sonntag</p><p>ponediljak der Montag</p><p>utorak der Dienstag</p><p>srijeda die Mittewoch</p><p>četvrtak der Donnerstag</p><p>petak der Freytag</p><p>subota der Sonnabend</p><p>Miseci</p><p>siječanj Jenner, Ianuar</p><p>veljača Hornung, Febr.</p><p>lažak Merz, Martius</p><p>travanj April, Aprilis</p><p>svibanj May, Majus</p>"
10,"<p>lipanj Brachmonat, Iunius</p><p>srpanj Heumonat, Iulius</p><p>kolovoz Augustmonat, Augustus</p><p>rujan Herbstmonat, September</p><p>listopad Weinmonat, October</p><p>studeni Wintermonat, November</p><p>prosinac Christmonat, December</p><p>Svetkovine</p><p>porodjenje gospodina našega Isukrsta</p><p>der Geburtstag unsers Herrn Iesu Christi</p>"
11,"<p>Božić Weynachten</p><p>Nova godina, Mlado lito das Neue Jahr</p><p>Tri kralja der heilige drey Königs Tag</p><p>Svetoga Pavla obraćenje Pauli Bekehrung</p><p>Svjetlo Mari[ji]no Mariá Reinigung Lichtmeß</p><p>poklade Fastnachten, Fasching</p><p>korizma die Fasten</p><p>kvatre die Quatember</p><p>Blagovijest Mariá Verkündigung</p><p>Cvjetnica der Palmsönntag</p><p>Veliki če[t]vrtak der grüne Donnerstag</p><p>Veliki petak der Char-Freytag</p>"
12,<p>Velika nedilja ili tjedan die Char-Woche</p><p>Uskrs der Ostertag</p><p>Spasovdan Himmelfahrtstag</p><p>Duhovi Pfingsten</p><p>Brašančevo Fronleichnams Fest</p><p>žetva die Erndte</p><p>vinobera die Weinlese</p><p>Od vatre</p><p>vatra das Feuer</p><p>dim der Rauch</p><p>ugljen die Kohle</p><p>pepel die Asche</p><p>Od ruda</p><p>srebro das Silber</p><p>zlato das Gold</p>
13,"<p>bronz, tuč das Erzt</p><p>mjed das Messing</p><p>kositer das Zinn</p><p>bakar das Kupfer</p><p>olovo das Bley</p><p>gvozdje das Eisen</p><p>čelik der Stahl</p><p>gvozdena žica eisener Dra[h]t </p><p>sumpor der Schwefel</p><p>staklo das Glaß</p><p>sol das Salz</p><p>kreč der Kalk</p><p>Od farbi</p><p>bijelo das Weiße</p><p>crno das Schwarze</p><p>crljeno das Rothe</p><p>zeleno das Grüne</p><p>žuto das Gelbe</p><p>plavetno das Blaue</p>"
14,"<p>mrko das Braune</p><p>riđo das Graue</p><p>višnjovasto das Violet</p><p>ružična farba Rosenfarb</p><p>sedefli farba Perlenfarb</p><p>Od vrtla, cvitja i stabla</p><p>vrtao der Garten</p><p>vinograd Weinberg oder Weingarten</p><p>cvijet die Blume</p><p>ljiljan die Lilie</p><p>ružica die Rose</p><p>stablo der Baum</p><p>kora die Rinde</p><p>grana der Ast</p><p>list das Blatt</p><p>šimšir der Buchsbaum</p><p>trišnja der Kirschbaum</p><p>šliva Pflaumenbaum</p>"
15,<p>breska der Pfersingbaum</p><p>jabuka der Apfelbaum</p><p>kruška der Birnbaum</p><p>orah der Nußbaum</p><p>sjena der Schatten</p><p>drvo das Holz</p><p>koren die Wurzel</p><p>deblo der Stamm</p><p>vrh ili vršika der Zweig</p><p>rast der Eichbaum</p><p>bukva der Buchbaum</p><p>lipa der Lindenbaum</p><p>vrba der Weidenbaum</p><p>breza der Birkenbaum</p><p>trs der Weinstock</p><p>bazovina der Holderbaum</p><p>Od trava</p><p>trava das Kraut</p>
16,"<p>povrtalje Garten-Kraut</p><p>repa die Rübe</p><p>rotkva der Rettich</p><p>crljeni luk die Zwiebel</p><p>bijeli luk der Knoblauch</p><p>salata der Sallat</p><p>tikva, bundeva der Kürbs</p><p>Od plodova</p><p>plod die Frucht</p><p>jabuka die Apfel</p><p>gunja eine Quitte</p><p>kruška die Birn</p><p>šliva die Pflaume</p><p>breska die Pfirsich</p><p>mušmula die Wispel</p><p>smokva die Feige</p><p>trišnja die Kirsche</p><p>dud die Maulbeer</p>"
17,<p>jagoda die Erdbere</p><p>orah die Nuß</p><p>lješnjak die Haselnuß</p><p>kesten die Castanie</p><p>grozd die Weintraube</p><p>žito das Getraide</p><p>pšenica der Weizen</p><p>raž der Rocken</p><p>ječam die Gerste</p><p>zob der Haber</p><p>proso die Hirse</p><p>grah zečjak die Erbse</p><p>leća die Linsen</p><p>bijeli grah die Bohne</p><p>bob die Sau-Bohne</p><p>brašno das Mehl</p><p>mekinje die Kleye</p><p>gorušica der Senf</p><p>smola na drvetu das Baum Harz</p>
18,"<p>smola das Pech</p><p>šeker der Zucker</p><p>zejtin, ulje das Oel</p><p>vino der Wein</p><p>pivo das Bier</p><p>sirćet der Essig</p><p>med der Honig</p><p>vosak das Wachs</p><p>mlijeko die Milch</p><p>maslo die Butter</p><p>otrova der Gift</p><p>Od zvirja</p><p>zvir das Thier</p><p>ptica der Vogel</p><p>gnizdo das Nest</p><p>oral der Adler</p><p>jastreb der Habicht</p><p>sovurina die Nacht-Eule</p>"
19,<p>slijepi miš die Fledermaus</p><p>žerav die Kranich</p><p>rodo der Storch</p><p>gavran der Rabe</p><p>vrana die Krähe</p><p>kukavica der Kuckuck</p><p>svraka die Elster</p><p>lastavica die Schwalbe</p><p>vrebac der Sperling</p><p>zeba der Finke</p><p>štiglic der Stieglitz</p><p>sinica die Meise</p><p>slavak die Nachtigal</p><p>labud der Schwan</p><p>guska die Gans</p><p>patka die Ente</p><p>pavun der Pfau</p><p>oroz der Hahn</p><p>kokoš die Henne</p><p>kopun der Capaun</p>
20,<p>jarebica der Rebhuhn</p><p>prepelica die Wachtel</p><p>golub die Taube</p><p>grlica die Turtel-Taube</p><p>Od riba</p><p>riba der Fisch</p><p>štokfiš der Stockfisch</p><p>aringa der Hering</p><p>som die Barben</p><p>štuka der Hecht</p><p>šaran der Karpen</p><p>linjak der Schley</p><p>rak der Kreps</p><p>Od živina četveronogih</p><p>živina das Thier</p><p>divja zvir ein wildes Thier</p><p>marvinče das Vieh</p>
21,"<p>elefant der Elephant</p><p>jelin der Hirsch</p><p>srna das Reh</p><p>medjed, medo der Bär</p><p>vuk der Wolf</p><p>lisica der Fuchs</p><p>zec der Haase</p><p>divja svinja ein wild Schwein</p><p>jež der Igel</p><p>majmun der Affe</p><p>lasica die Wisselein</p><p>vjeverica das Eichhorn</p><p>krtica der Maulwurf</p><p>miš die Mauß</p><p>mačka die Katze</p><p>stakor ili parcov die Ratze</p><p>konj das Pferd</p><p>magarac der Esel</p><p>deva das Cameel</p>"
22,"<p>vol der Ochse</p><p>bik der Stier</p><p>krava die Kuh</p><p>tele das Kalb</p><p>ovca die Schaafe</p><p>ovan der Hammel</p><p>janje das Lamm</p><p>koza die Ziege</p><p>jarac der Bock</p><p>kozle eine junge Ziege</p><p>krmak, svinja das Schwein, die Sau</p><p>nerast der Eber</p><p>pas der Hund</p><p>žaba der Frosch</p><p>krastava žaba die Kröte</p><p>zmija, guja die Schlange</p><p>gušter die Eyder</p><p>crv der Wurm</p><p>gusjenica die Raupe</p><p/>"
23,<p>moljac die Motte</p><p>muha die Fliege</p><p>komar die Mücke</p><p>pčela die Biene</p><p>osa die Wespe</p><p>skakavac die Heuschrecke</p><p>mrav die Ameis</p><p>pauk die Spinne</p><p>buha der Floh</p><p>uš ili vaš die Laus</p><p>gnjida die Niß</p><p>Od čovika</p><p>čovik der Mensch</p><p>muž ein Mann</p><p>žena ein Weib</p><p>dijete vrlo maleno ein Kind</p>
24,"<p>dijete od 4 ili 5 godina ein Knabe</p><p>dijete ili mladić ein Jüngling</p><p>divičica ein Mägdlein</p><p>divojka eine Jungfrau</p><p>baba ein alt Weib</p><p>starac alt, der Alte</p><p>Od tijela</p><p>tijelo der Leib</p><p>koža die Haut</p><p>put, meso das Fleisch</p><p>žila die Ader</p><p>kost das Bein</p><p>mozak u kosti das Mark im Bein</p><p>krv das Blut</p><p>glava das Haupt</p><p>time die Scheitel</p><p>mozak das Gehirn, Hirne</p>"
25,"<p>dlaka das Haar</p><p>vlas das Haupt Haar</p><p>uho das Ohr</p><p>obraz, lice das Angesicht</p><p>čelo die Stirne</p><p>oči die Augen</p><p>oko ein Auge</p><p>nos die Nase</p><p>ličnica eine Backe</p><p>podvoljak das Kinn</p><p>brada der Bart</p><p>laloka die Lippe</p><p>usta der Mund</p><p>meso okolo zubi das Zahnfleisch</p><p>zub der Zahn</p><p>jezik die Zunge</p><p>ustno nebo der Gaum, Rachen</p><p>vrat der Hals</p>"
26,"<p>zatiljak der Nacken</p><p>prse die Brust</p><p>sisa die Zitze</p><p>leđa der Rücken</p><p>rame die Schulter</p><p>pazuo die Achsel</p><p>bok, bočina eine Seite</p><p>srce das Herz</p><p>mišica der Arm</p><p>lakat der Ellenbogen</p><p>ruka die Hand</p><p>desna ruka die rechte Hand</p><p>lijeva ruka die linke Hand</p><p>prst der Finger</p><p>palac der Daum</p><p>nokat der Nagel</p><p>trbuh der Bauch</p><p>pupak der Nabel</p><p>stražnica der Hinderste</p><p>kolino das Knie</p>"
27,"<p>gližanj der Schenkel</p><p>bedra die Hüffte</p><p>list na nogi izpod kolina die Wade</p><p>noga der Fuß</p><p>peta die Ferse</p><p>taban die Fußsohle</p><p>Od dobara i zala tilesnih</p><p>prilika, obličje die Gestalt</p><p>ljepota Schönheit</p><p>gruboća Heßlichkeit</p><p>jačina Stärke</p><p>slaboća Schwachheit</p><p>zdravje Gesundheit</p><p>bolest Krankheit</p><p>gluhoća Taubheit</p><p>slipoća Blindheit</p>"
28,<p>kašalj der Husten</p><p>srdobolja die rothe Ruhr</p><p>groznica das Fieber</p><p>kuga die Pestilenz</p><p>svrab die Krätzigkeit</p><p>rana die Wunde</p><p>život das Leben</p><p>smrt der Tod</p><p>Od dostojanstva svitovnjega</p><p>cesar der Kayser</p><p>cesarica die Kayserin</p><p>kralj der König</p><p>kraljica die Königin</p><p>princip der Fürst</p><p>principica die Fürstin</p><p>herceg der Erzherzog </p><p>hercegica die Erzherzogin </p>
29,<p>grof der Graf</p><p>grofica die Gräfin</p><p>baron der Freyherr</p><p>baronica die Freyfrau</p><p>plemić ein Edelmann</p><p>Od dostojans[t]va crkvenih</p><p>papa der Pabst</p><p>kardinal der Cardinal</p><p>patrijarka der Patriarch</p><p>arcibiskup der Erzbischoff</p><p>biskup der Bischoff</p><p>abat der Abt</p><p>abatisa die Aebtissin</p><p>pristavnik der Prälat</p><p>kanonik der Domherr</p><p>župnik ili parok der Pfarrherr</p><p>pripovidalac der Prediger</p>
30,<p>ispovidnik der Beichtvatter</p><p>kaluđer der Mönch</p><p>kaluđerica ili duvna die Nonne</p><p>Od crkve</p><p>crkva die Kirche</p><p>oltar der Altar</p><p>kapelica die Capelle</p><p>orgule die Orgel</p><p>orgulaš der Organist</p><p>zvono die Glocke</p><p>zvonce das Glöcklein</p><p>pridikalnica die Canzel</p><p>ispovidalnica der Beichtstahl</p><p>greb das Grab</p><p>pratnja die Leiche</p><p>zastava die Fahne</p><p>sveta voda das Weywasser</p>
