Stranica,Tekst
XII,"<p>obaseže nazive svih ilirskih ili slavenskih dijalekata i detaljniji bi mu opis za ovu prigodu bio predug, po svojim promišljanjima može stajati uzbok rječnicima drugih razvijenih/učenih (tal. colto) jezika.</p><p>Ima jedna velika stvar koja nedostaje dalmato-ilirskomu dijalektu, a to je gramatika koja bi istovremeno učvrstila prava i postojana pravila pisanja i tvorbe za same govornike, ali bi i strance upoznala s ovim jezikom. Time bi pridonijela prepoznatljivosti i slavi njegovih pisaca i njihova naroda.</p><p>Jednu je gramatiku, za ilirsko-kranjski dijalekt, krajem 16. stoljeća napisao Adam Bohorič, na latinskome i na njemačkome jeziku. Slijedivši učenje Filipa Melantonea Bohorič se previše ugledao na grčki sustav. Stoga je uveo dvojinu za imenice i glagole te druge elemente slične grčkoj uporabi, što je, s obzirom da se radi o ilirskome govoru, uzrokovalo zbrku i zbunjenost. Postoji još jedan razlog zašto je Bohoričeva gramatika Ilirima neuporabljiva. Dijalekt na kojemu ona počiva, točnije kranjski, iskvaren je utjecajem stranih jezika na razini vokabulara, ali i u nekim sintaktičkim elementima, pa dalmato-ilirski vokabular ne preteže, već se pojavljuje samo u vezi s kakvim općim pravilom te s nazivima isključivo ilirskoga ishodišta. Ipak, ta gramatika nije beznačajna za govornike kranjskoga, kao i za onoga koji bi volio otkriti velike poveznice između ilirske i latinske sintakse.</p><p>Otac Bartol Kašić, rođen na otoku Krku, u Rimu je 1604. objavio Istituzioni della linguaillirica na latinskome. Priznaje da nije</p>"
XIII,"<p>imao uzora jer se prije njega nitko nije bavio tom građom. Ne može se, stoga, pretjerati hvaleći Kašića kao prvoga koji je, najbolje rečeno, podijelio i oblikovao imeničke sklonidbe i sprezanja ilirskih glagola i prvoga koji je, premda razasuto i škrto, dao pokoje pravilo o različitim dijelovima diskursa. Imajući na umu skromnost svojega djela zaželio je da neki učeni sunarodnjak dovrši ono što je on bio započeo. S obzirom da su prvi i najteži koraci bili učinjeni, činilo se nedvojbenim da će se tijekom dva stoljeća naći netko tko će se posvetiti tomu toliko potrebnomu i željenomu poslu. Premda je takvih pokušaja bilo, nije se napredovalo mnogo.</p><p>Upravo tako, sve što se je uradilo kasnije, izuzimajući Della Belline Istruzioni grammaticali, moglo je služiti samo ilirskoj mladosti za učenje latinskoga ili talijanskoga jezika. Proučavateljima latiniteta dobro je poznata ilirska inačica osnova Álvaresove Gramatike, tiskane o trošku Propagande u Rimu 1637., zatim Mala gramatika Tome Babića, do danas zasluženo sasvim zaboravljena, gramatika fra Lovre iz Ljubuškoga6, koncipirana nešto bolje, i gramatika Josipa Jurina koja je najbolja od svih.</p><p>Gramatika koju je fra Jakov Mikalja premetnuo svojemu Rječniku, tiskanomu u Loretu 1649, također o trošku Propagande, nimalo ne koristi usvajanju ilirskoga, jer se sastoji od malo pravila pisanih ilirskim jezikom za učenje talijanskoga.</p><p>Gramatički naputci koje je fra Ardelio Della Bella uz svoj Rječnik otisnuo 1728. u Veneciji,</p>"
XIV,"<p>najbolje je što iz toga područja imamo. Nisu brojniji od Kašićevih pravila, a što se ilirske sintakse tiče, onoga najvažnijega u gramatikama materinskih jezika, ona je tu gotovo zaboravljena. Tradicionalna tumačenja ovu malu gramatiku pripisuju slavnomu opatu Ignjatu Đurđeviću. Ne bih znao reći drugo nego da ju je Đurđević mogao pregledati, zajedno s rječnikom, s obzirom da je tiskana uz gramatiku što je morao dopustiti sam Della Bella.</p><p>Bilo da su starijega ili svježijega datuma, sve gramatike o kojima smo dosad govorili, toliko su rijetke da smo do njih došli teškom mukom za što nam je trebalo nekoliko godina. Njihovo je postojanje potpuno beskorisno. Stoga, da smo izradili gramatiku koja bi se bavila time što je već objavljeno, ali teško dosezivo, i to bi bila dobra stvar kojoj se ne bi mogla zamjeriti korisnost strancima, a ne bi bila naodmet ni narodu.</p><p>No, mi si laskamo kako smo napravili mnogo više, iako nismo mogli izraditi sve što smo željeli i što je potrebno napraviti. Izraditi gramatiku jezika koji je još nema ili je ima tek djelomično znači posvetiti se najtežemu poslu, najsuhoparnijemu i najdosadnijemu od svih književno-jezičnih poslova, i to nekoliko desetljeća svojega života. Opat Đurđević, koji nabolje od svih poznaje ilirski jezik, odbio je moj je prijedlog da se uhvati toga posla, a fra Matić,7 premda dobar gramatičar i istančan pisac, proveo je čak trideset godina izrađujući gramatiku za koju se, nakon njegove smrti, ne zna hoće li ugledati svjetlo dana. Sve su ove činjenice</p>"
XV,"<p>mogle obeshrabriti i nas koji smo, kao stranci na ilirskome tlu, lišeni mnogih spoznaja, barem uspjeli izdvojiti vrijeme za proučavanje ovoga jezika. Čini se da naša odvažnost nema granica. No, kad bi se detaljno bavljenje književnošću i jezikom svodilo na jednokratan nalet, većinu umjetnosti i znanosti istražili bismo usput u djetinjstvu. Nije li istina da u svakome poslu loši pisci prethode osrednjima, a osrednji odličnima? Od trideset loših tečajeva filozofije, na primjer, pojedinac je mogao izvući jedan dobar. Ilirski jezik još uvijek nema dovoljan broj loših gramatika. Naša gramatika taj broj povećava, i jednoga će dana možda poslužiti nastajanju dobre gramatike – što želimo više od ičega. I neka to umiri kritičare koji bi imali što zamjeriti.</p><p>Uostalom, zaista je suvišno govoriti o načinu rada i trudu kojim je nastalo ovo djelo. To je svima vidljivo i nije moglo biti podržano ničim drugim osim gorljivom naklonošću prema ovome jeziku, osjećajem da je takvo što potrebno, zadovoljstvom do kojega dovodi činjenica što proučavanjem nekoga jezika upoznajemo fizički i moralni profil naroda koji ga govore, kao i iznenađujuće mnogo filozofije, što je svakako odgovarajuća nagrada za uložen trud. Umjesto varljive i naporne podjele na prijelazne i neprijelazne glagole, kao i druge podjele koje je uveo fra Kašić,</p>"
XVI,"<p>glagole smo podijelili na aktivne, pasivne, neutralne i bezlične. Predstavljamo ih u tablicama koje već na prvi pogled nude sve sklonidbene i konjugacijske različitosti. Jezici se od samoga početka moraju učiti, rekao bih, materijalno. Sve ono što dotiče osjetila bolje zadržava u pamćenju gradivo pa je takvo usvajanje dragocjeno. Tomu se u međuvremenu pridružuje i razmišljanje pa u jednome trenutku iznenadno shvatimo kako one stvari koje smo znali mehanički, sad znamo i načelno.</p><p>Latinska nam je sintaksa bila jedina od pomoći pri uređivanju ilirske sintakse. Kod nestabilnih i neodređenih elemenata vodili smo se osjećajem. U dodatcima iz latinskih gramatika iznimke, ako postoje, stoje tik nakon pravila. Netko će priupitati jesu li zaista takva pravila ilirske tvorbe i je li stvarno takva njihova distribucija. Mi mu odgovaramo da, s obzirom da su stvarna i neosporna, to jest preuzeta iz klasičnih jezika, a istovremeno ih i živi govornici svakodnevno rabe, takvo pitanje nema opravdanja. Kako bismo bili sigurni u postupak, jezik smo, možemo reći, razložili, da bismo ga onda opet sastavili, a pri tome smo sastavljanju utvrdili jasna pravila. Taj su put odabirali i prvi gramatičari latinskoga i grčkoga jezika.</p><p>Priklanjali smo se autoritetima kad je to bilo potrebno, a jednako smo tako uvodili mnoge primjere te najljepše izraze i fraze klasičnih autora što smo smatrali nepotrebnim svaki put navoditi.</p><p>Na kraju, nisam propustio zatražiti savjete od ljudi iz struke koji su bili istovremeno slobodni i jednako toliko savjesni da mi osvijetle put.</p>"
XVII,"<p>Među inima obratio sam se i gospodinu Ivanu Luki Volantiću8 kojega je, uz žalost cijeloga Dubrovnika, prije pet mjeseci otela smrt. Taj je čovjek izvrsnoga pamćenja bio iskren i pouzdan kritičar, a sunarodnjaci su mu se, zbog njegovih sposobnosti tajnika dubrovačkoga Vijeća, divili više od četrdeset godina. Odlično je baštinio ilirski jezik, što ga je činilo još dičnijim. Osim toga, Volantić je omogućio tiskanje lijepih ilirskih propovijedi fra Bernarda Zuzorića, također Dubrovčanina, te je dvanaest godina posvetio radu na priređivanju slavnoga ilirskog spjeva, poznatoga pod imenom Osman, Ivana F. Gundulića, za koji je na četrdeset rukopisnih stranica izradio objasnidbene bilješke. Po smrti slavnoga monsinjora Marottija, člana tadašnjega ministarstva Segretario dei brevi ai principi pape Pija VII., Volantić je, postavši nasljednikom rukopisnih djela slavnoga latinskog pjesnika Rajmunda Kunića, također Dubrovčanina, proveo nekoliko godina skupljajući ih i uređujući. Neprocijenjivi rukopis, koji se kao i Osmanov rukopis nalazi kod njegova prijatelja i nasljednika gospodina Savina Marinića, sadrži 4000 raznovrsnih epigrama, 13 latinskih besjeda, 40 elegija, mnoge jedanaesterce, pokoju pjesmu i nekoliko razgovora, nikad tiskana djela, zbog kojih se prošlo stoljeće može uspoređivati s Augustovim razdobljem. Smrt koja je Volantiću onemogućila izdavanje Gundulićeva spjeva, a tako i posthumnih Kunićevih djela, kao što sam već dao naslutiti, i meni je ukinula mogućnost da mu ponudim na procjenu dio ove gramatike koji predstavlja sintaksu glagola. Oprostit ćete mi ovu malu digresiju o čovjeku za kojega, premda s njim nisam bio u doticaju i poznanstvu sve do pred kraj njegova života,</p>"
XVIII,"<p>koristim priliku kako bih izrazio časnu uspomenu. No, prijeđimo na slovopis, najvažnije od svega.</p><p>Iliri imaju dva vlastita pisma (tal. alfabeto) za zapisivanje i izgovaranje svojega jezika, bukvicu i ćirlicu. Prvi se još naziva i glagoljicom ili Jerolimovim pismom, budući da mu je sv. Jerolim autor, no to je pismo vrlo staro, njime su se služili još Tračani i Frigijci. Drugo su pismo izmislili sv. Ćiril i sv. Metod, što su u devetome stoljeću mnoge Slavene preobratili na kršćanstvo. Glagoljica ili Jerolimovo pismo jedinstveno je u svojoj vrsti i ima poveznice s izvornim grčkim alfabetom, s pismom Etrušćana i sa starim runskim alfabetom, što dokazuje da sva pisma potječu iz jednoga ishodišta. Ćirilično pismo, pak, sadrži glagoljička i grčka slova. Rusi, Servijani9 i još pokoji slavenski narod koristi se ćirilicom koja u današnje vrijeme pomalo preuzima latinska slova. Glagoljica je u uporabi u Katoličkoj Crkvi, u nekim dalmatinskim mjestima gdje se vrši ilirsko bogoslužje.</p><p>Poljaci, Česi, Sorabi i Luzati preuzeli su latinska slova po uzoru na Nijemce, a isto su pismo preuzeli i Hrvati, Bosanci i Dalmato-Iliri, duž Jadranskoga mora. Ne znam na koje probleme nailaze sjeverni Slavo-Iliri u zapisivanju vlastitoga jezika elementima koji sami po sebi ne mogu prikazati zvuk, onaj jedini mogući i željeni, a zasad to ne želim ni znati. Naprotiv, dobro mi je poznato da poteškoće na koje u tome području nailaze Dalmato-Iliri ne mogu biti veće. Tkogod je među njima nešto izdao priznaje da mu je latinska abeceda bila nedostatna za izraziti mnoge ilirske glasove.</p>"
XIX,"<p>Žali se taj i tuži na nepostojanje stabilnoga slovopisa, i zatim, umjesto da se ugleda na onaj uzoritih i dokazanih pisaca, sklepa neki novi koji onda opravdava dugim ispraznim pričama. No, dokad će trajati taj nered što toliko šteti jezičnomu i kulturnomu razvoju? Kad se već želi strano pismo (tal. alfabeto), reći ću iskreno što o tome mislim.</p><p>Svim je njegovateljima ilirskoga jezika poznato koliku zaslugu u tome imaju opat Ignjat Đurđević i fra Ardelio Della Bella. Prvi je otisnuo cjelovitu inačicu psalama kralja Davida koju upućeni drže remek djelom, poemu u sedam pjevanja Uzdasi Mandalijene pokornice i veliki broj ostalih izdanih i neizdanih djela raznovrsne metrike – sve to zavidne vrijednosti. Drugi je tvorac odličnoga talijansko-latinsko-ilirskog rječnika i jednoga sveska lijepih sakralnih razgovora koji su nedavno otisnuti u Veneciji, no veoma uništeni tiskarskim pogreškama. Spomenuti su velikani bili vršnjaci i prijatelji, a tiskanjem svojih djela pokušali su utemeljiti načela ilirskoga slovopisa. Đurđević neka pravila donosi u uvodu svojega spjeva o Mandalijeni, a Della Bella u uvodu svojega rječnika tiskanoga u Veneciji. Najveće razilaženje među dvojicom jesu različiti grafemi za pokoje slovo u određenoj riječi. Tako Đurđević rabi &lt;ʃ&gt; za početni glas u riječi ʃa-scto 'zašto', dok Della Bella piše ℨa-scto, s glagoljičkim grafemom. Prvi se služi dvama konsonantima ʃc u pisanju, primjerice, riječi ʃcena, 'žena', dok drugi to zapisuje xena, s x.</p>"
XX,"<p>Uz pretpostavku da se u ugledanju na spomenuti slovopis mogla slobodno izabrati jedna od spomenutih spornih inačica, drugo je valjalo preuzeti u cijelosti. Međutim, dogodilo se obrnuto te i dalje ne postoji sloga tamo gdje bi je trebalo biti. Kako bi gradovi i narodi ilirskoga i dalmatinskoga govornog područja mogli biti u doticaju kroz svoja djela, ako se Bosanci i Hrvati10 međusobno služe različitim slovopisom, ktome i dalmatinski gradovi rabe svoj slovopis? Dubrovačka djela na ilirskome vrlo su cijenjena u zadarskih, splitskih, trogirskih i kotorskih učenjaka, a ni Dubrovčani nisu škrti u hvalama prema zaslugama spomenutih gradova. No, kad je čitanje u pitanju, međusobno se preziru zbog slovopisa, što dovodi do toga da jedni druge ne čitaju. A, tko je od njih u pravu? Može li svatko od njih provoditi svoju volju? Čiji će se slovopis prigrliti? Je li moguće da na jadranskoj obali nema akademije koja bi ga uspostavila? S obzirom na to da su Đurđević i Della Bella referentne vrijednosti te njihov slovopis preuzimaju mnogi uvaženi učenjaci, vjerujem da bi jedino slovopis toga slavnog dvojca trebao biti temeljem za slovopisnu normu – jer je najrazumniji, kako ćemo poslije vidjeti.</p><p>Oni su se, u biti, držali jednoga stabilnog načela: pri ispisivanju ilirskih riječi latinskom abecedom, grafemi zadržavaju onu vrijednost koju imaju pri zapisivanju latinskih ili talijanskih riječi, a to ćemo pokazati dalje u knjizi.</p>"
XXI,"<p>I ne želim čuti kako je ilirski pravopis nemoguće normirati zato što mu je drukčiji izgovor u dvjema pokrajinama, dvama gradovima ili među dijelovima jedno te istoga grada. Zato što, jednako tako, gradovi Lucca i Firenca imaju izgovor talijanskih riječi koji se razlikuje od onoga u Rimu i Napulju, a potonji izgovaraju sasvim drugačije od govornika Bolonje, Venecije, Milana i Pijemonta. No, u pismu se usklađuju svi u istome pravilu čime postaju, ono što već jesu, narodi jedno te iste nacije i jezika, usprkos velikome izgovornom jazu i razlici u dijalektima. Jednako se može reći i za druge žive jezike. Pa zašto se ne bi isto dogodilo i s narodom dalmato-ilirskog jezika koji je po pitanju izgovora i vokabulara mnogo jedinstveniji od talijanskoga što ga govore razni talijanski narodi? Neka svaki lokalitet ima izgovor koji mu je uobičajen, ali u pisanju neka se slijedi jedno pravilo.</p><p>Ako bi, dakle, netko odbio prilagođavanje drugomu, bilo zbog nesvjesne i prezrive želje da bude jedinstven, bilo zbog pretjerane vezanosti za starinu, bilo zbog neznanja, bilo, na kraju krajeva, zbog sujetne tvrdoglavosti oko toga da se prepusti prednost radije jednoj nego pokrajini ili gradu, tomu bi valjalo odgovoriti da nema više vremena za šalu u nečemu od tolike važnosti, i da, ako postoji nešto bolje od onoga što su ponudili Đurđević i Della Bella, neka to on izradi. Treba reći i to da je Francuska akademija smjesta prihvatila ono što je procijenila dobrim u slovopisu koji su ponudili književnici raznih pokrajina i gradova te i to da nije nimalo dvojbeno kako se u donošenju takvih pravila treba prikloniti mjestu</p>"
