Stranica,Tekst
11,"<p>gizdàvi, elegans; Bôg, Deus. Ispred suglasnika pak, osobito l, kada odmah iza slijedi samoglasnik a ili o, izgovara se kao u Latina gladius, gloria. Tako i u nas gláva, grâd. A ako bi iza gl bio samo samoglasnik i, izgovaralo bi se kao figli, egli. Tako i zèmgli [zemlji]; osim ako bi bilo ghl kao dvighli [dvigli]. Kada se pak između gl i samoglasnika a, e, o, u umetne polusamoglasnik i, izgovara se kao u Talijana u ovim primjerima: figlia, figlie. Tako i u nas zemglià, [zemlja], terra, zèmgliu [zemlju], terram. Neki to ispuštajući ostvaruju dvojak izgovor.</p><p>O slovu Hh</p><p>Hh jest suglasnik i izgovara se iz grla prije ili poslije samoglasnika i suglasnika kao pìhati, anhelare; haznà, thesaurus; himbennìh, decipientium; hrèv, truncus; hglìb [hljib], panis. Ponekad je znak aspiracije, osobito iza slova c i g kao Slavícch [slavić], Philomela; chamen [kamen], saxum; dvighnu [dvignu], sustulit.</p><p>O slovu Kk</p><p>Kk se ispred i iza samoglasnika i suglasnika izgovara kao u Latina c u ovim primjerima: caput, comes, cursus i kao u Talijana ch, u che, chi.</p>"
12,"<p>Tako i u nas káram ili cháram [karam], arguo. Neki pišu na oba načina: kùchia [kuća], domus, klàdda [klada], compes.</p><p>O slovu Qq /kv/</p><p>Qq se izgovara kao u Latina. U nas će se, ipak, povezati sa suglasnikom v umjesto samoglasnika u kao qvâs [kvas], fermentum, qvòcka [kvočka], gallina habens pullos.</p><p>O slovu Ss</p><p>Ss se izgovara s nekim najmanjim piskom kao sìver, aquilo, méso, caro, a ne treba slušati one koji kažu da je njegov izgovor višestruk ako je s samo pred vokalom.</p><p>O slovu Vv</p><p>Vv u ovakvu obliku jest suglasnik ispred i iza bilo kojeg samoglasnika i suglasnika kao voyník [vojnik], miles, veccér [večer], uesper; plâv, nauicula kao što je u Latina u u ovim primjerima: uale, uolo. Neki pak rabe f ili u umjesto v.</p><p>O slovu Xx /ž/</p><p>Xx se izgovara s blagim glasom kao polu sz /š/ ili</p>"
13,"<p>polu sg /ž/, ali ipak povezano kao xenà [žena], mulier.</p><p>O slovu Yy /j/</p><p>Yy jest uvijek suglasnik na onaj način na koji je to u Latina i premda ga neki katkad rabe kao samoglasnik. Ali kod uglađenijih je uvijek suglasnik.</p><p>O slovu Zz</p><p>Zz se ispred samoglasnika i suglasnika izgovara kao u Talijana u riječima zero, zenzala. Tako i u nas, ipak malo blaže, u zátilak, occiput; zemglià [zemlja], terra; zíma, hiems.</p><p>O SUGLASNIČKIM SKUPOVIMA</p><p>Poglavlje III.</p><p>O slovima cch /ć/ i ck / čk/</p><p>Slova cch pred samoglasnikom i izgovaraju se kao u Talijana u ovim riječima: occhi, fenocchi. Tako i u nas mocchi [moći], uires; ópcchina [općina], communitas. Neki ispuštaju prvo slovo c što nije ispravno. A slova ck valja izgovarati odvojeno, nekim vlastitim glasom kao kùcka [kučka], catella; qvòcka [kvočka], gallina.</p>"
14,"<p>U takvim riječima iza c bit će bolje pisati k nego ch da ih čitatelji ne bi izgovarali zajedno.</p><p>O slovima chi /ći/</p><p>Slovo i između ch i samoglasnika a, e, o, u postaje polusamoglasnik kao u Talijana u ovim riječima: occhietti, ochiali. Tako i u nas hòchiu, hòchiesc [hoću, hoćeš], premda ispred h stoji jedno c.</p><p>O slovima gn /nj/, ggn /gnj/, ghn/gn/</p><p>Slova gn ispred i iza samoglasnika i suglasnika izgovaraju se gotovo uvijek kao u Latina u ovim riječima: magna, magni, magnus. Tako i u nas pòmgna [pomnja], attentio; màgní [manji], minor; ogàgn, [oganj], ignis. A ako bi se ispred gn stavio drugi suglasnik, on ne bi izgubio svoj zvuk kao što je očevidno u riječi oggnà [ognja], ignis; kgnàst [knjast], mancus; ggnila [gnjila], argilla; oggnillo [ognjilo], igniarium. Neki obično stavljaju polusamoglasnik i između gn i samoglasnika e. Meni se čini da to nije nužno. Ako se pak između g i n stavlja aspiracija h kao u riječima odàghnan [odagnan], abactus; dvighnùt [dvignut], elatus, valjat će gh izgovarati kao što je gore rečeno, odnosno kao kad samo g stoji ispred samoglasnika a, o, u.</p>"
15,"<p>O slovima sc /š/, sct /št/</p><p>Slova sc uvijek valja izgovarati povezanim glasom kao u Latina u ovim riječima: discedo, scindo. Tako i u nas sluscám [slušam], audio; púsce [puše], flat; nàsci [naši], nostri; rovásc [rovaš], tessera; scténye [šten’je], lectio; sctò [što], quid. Neki iz tih posljednjih odbacuju s, tako cténye [čten’je], ctò [čto].</p><p>O slovima ksc /kš/</p><p>Slova ksc /kš/ ili chsc /kš/ ovako povezana zadržavaju svoj glas i kad bi k ili ch i sc stajali sami za sebe kao u ovim riječima: Miksca [Mikša], veksca [vekša].</p><p>O TONU I APOSTROFU</p><p>Poglavlje IV.</p><p>Budući da se bez tona ili akcenta ne može razgovjetno čitati, treba ukratko pokazati kolikovrstan je. Čini se pak da treba biti trovrstan.</p><p>1. Oštri (akut), čiji je znak ovaj: á. Zadaća i djelovanje bit će mu podignuti ton sloga na koji bude postavljen.</p><p>2. Teški (gravis), čiji je znak ovaj: è. Zadaća i djelovanje bit će spustiti ton sloga tako da se pojavi veća težina tamo gdje jest taj akcent</p>"
16,"<p>nego tamo gdje nema akcenta. (Ali to će bolje poučiti uporaba.) Kao što dobro bilježi naš Jakob Gretscher u 22. poglavlju o akcentima, gdje kaže da θεòς ne valja čitati s podignutim posljednjim slogom kao da stoji θεός, već sa spuštenim. Po tome se dovoljno jasno pokazuje razlika između oštrog i teškog akcenta. Tako i u nas u ovim primjerima: sedlò, ephippium; veslò, remus; tìh, placidus.</p><p>3. Otegnuti ili zavinuti (cirkumfleks), čiji znak nastaje od prethodnih, je ovo: ô. Zadaća pak i djelovanje bit će mu da pokaže da ton treba podignuti i otegnuti, i to ili ton dvoglasa koji nastaje od dva samoglasnika ili sloga koji odbacivši drugi samoglasnik iz dvoglasa, zadržava njegov izgovor kao mnoox, multitudo; meed, mel ili mnòx [mnôž] i mèd [mêd].</p><p>4. Treba obratiti pozornost na to da mi ponekad u istoj riječi stavljamo dva naglaska, a katkad nijedan.</p><p>5. A što je apostrof, poslušaj ukratko. Apostrof je ovaj znak - s’ za izbačeni samoglasnik kao s’ drivom, cum ligno; k’ Rímu, ad Urbem, umjesto sa drivom, ka Rímu. A neki pak, nepravilno, znak za apostrof izbacuju.</p>"
17,"<p>O SLOGU I RIJEČI</p><p>Poglavlje V.</p><p>Ovdje treba pokazati kako iz već prikazanih samoglasnika i suglasnika nastaje slog i kako se iz jednog ili više slogova stvara riječ.</p><p>O slogu</p><p>Slog je povezivanje dvaju ili više slova izgovorenih u jednom dahu i pod jednim akcentom kao: bì, fuit; sín, filius. Broj slova u slogu rjeđe je jedan kao à, ò, a češće je da slog ima dva, tri, četiri, pet ili pak šest slova, kao u kgnást [knjast], mancus.</p><p>O riječi</p><p>Riječ je niz glasova sastavljen od jednoga ili više slogova koji označuje neku stvar. Premda ona samostalno nema određena i jasna smisla, ipak povezana s drugima više ili manje pokazuje ono što znači. Neodređeno je, naime, što znači ova riječ Pettar, Petrus. Određenije postaje ako kažeš Pettar yèst namìstnik Isùkarstov [Petar jest namisnik Isukrstov], Petrus est Vicarius Iesu Christi.</p>"
18,"<p>O ČLANU I DIJALEKTU</p><p>Poglavlje VI.</p><p>Mi se u govoru ne služimo članovima kao što to čine Grci. Ugledajući se, ipak, na latinske gramatičare, gotovo sam sklon pri dekliniranju imenica u svim padežima staviti zamjenicu oví, ová, ovó; hic, haec, hoc. Ali smatram da je to ne samo beskoristan nego i dosadan posao.</p><p>Zato ću se pobrinuti da nazive padeža pokažem barem jednim ili drugim od prvih slova, a samo ću u nominativu dopisati zamjenicu koja razlikuje rod kao član.</p><p>O dijalektu</p><p>U gotovo svim dijelovima iskaza, o kojima malo poslije namjeravamo raspravljati, odražavaju se različiti dijalekti prema različitosti pokrajina i gradova. Ipak, nemam toliko slobodnoga vremena sada propisivati koji je dijalekt svojstven kojemu gradu ili pokrajini. Osim toga, rasprava takve vrste, ako se uzme u obzir svrha radi koje se pišu ove Osnove, neće u sadašnjosti donijeti mnogo koristi onima koji uče ilirski jezik, stoga o dijalektima neću</p>"
19,"<p>raspravljati. Ozbiljno ću se pak, koliko god je u mojoj moći, potruditi da, ako već ne budem mogao dati najbolja pravila našega jezika, onima koji žele pomoć ovih Osnova u učenju ilirskoga jezika izložim govorni oblik najbliži najboljemu, i to takav kakav ilirski ljudi razumiju.</p><p>OSNOVE ILIRSKOGA JEZIKA</p><p>KNJIGA PRVA</p><p>DRUGI DIO</p><p>U ovom, drugom dijelu valja ukratko raspraviti o iskazu i imenu, zatim o osobitoj vrsti imena koje se naziva ime supstancije ili imenica. Ona se dijeli na tri zasebna poglavlja tako da se njima obuhvaćaju prva, druga i treća deklinacija imenica.</p>"
20,"<p>O ISKAZU I IMENU</p><p>Poglavlje I.</p><p>1. Iskaz je odgovarajuće povezivanje i raspored riječi sastavljen od izričaja tako da nešto znači kao Pètre mìsli ò smàrti [Petre misli o smrti], Petre cogita de morte. U nas se, kao i u Latinâ, iskaz dijeli na osam dijelova, to jest na ime, zamjenicu, glagol, particip, prilog, prijedlog, uzvik i veznik. Od njih se četiri mijenjaju: ime, zamjenica, glagol i particip. Ostali nemaju promjene: o njima ćemo pojedinačno raspravljati na za njih predviđenom mjestu.</p><p>2. Obradimo podrobnije prvi dio iskaza čiji opis može glasiti ovako: imena su dijelovi iskaza sklonjivi po padežima, a bez vremenskoga značenja. Imena se dijele u dvije vrste: imenice i pridjeve. O pridjevu na ovom mjestu neće biti riječi. Imenica je ono što u iskazu može stajati samo za sebe kao voyvòda zapovída [vojvoda zapovida], dux imperat; voyník poslùsca [vojnik posluša], miles obtemperat.</p><p>3. Imenice se prikladno mogu podijeliti na vlastite, opće i zbirne.</p>"
21,"<p>4. Vlastita je ona koja označuje određene stvari i osobe kao Isùs, Iesus; Rím, Roma.</p><p>5. Opća je ona koja označuje neodređene i opće stvari kao krágl [kralj], rex; grâd, urbs; città.</p><p>6. Zbirna je ona koja jedninom označuje mnoštvo kao pûk, populus; mnoxtvó [množtvo], turba; cegliád [čeljad], familia.</p><p>7. Nadalje, nepravilna ili nejednaka imenica (koju namjerno dodajem na ovom mjestu jer će o njoj često biti spomena) jest ona kojoj nedostaje broj, rod, deklinacija, padež ili neka druga odrednica ili je u nekoj od njih različita od drugih, kako će se pokazati u samim deklinacijama.</p><p>O odrednicama dijelova iskaza</p><p>8. Budući da se odrednice dijelova iskaza jednim dijelom odnose na imenice, čini se da ih treba izložiti na ovome mjestu.</p><p>Prva je odrednica broj koji je kod imenica, zamjenica, glagola i participa dvojak: jednina kao díva, uirgo; yá [ja], ego; gliúbim [ljubim], amo i množina kao dívae [dive], virgines; mij [mi], nos; gliúbimo [ljubimo], amamus.</p><p>Druga je padež, kojih za imena, participe i neke zamjenice u Latina ima šest. U nas ih je u jednini gotovo uvijek sedam, a u množini,</p>"
22,"<p>zbog različitosti završetka i značenja, osam. To biva poglavito kod imenica. Latini imaju nazive za padeže: nominativ ili uspravni padež, genitiv, dativ, akuzativ, vokativ i ablativ: ovim padežima mi u jednini dodajemo sedmi padež, a u množini uz sedmi i osmi padež. Sedmi će padež u oba broja označavati pratnju, uzrok, način ili sredstvo. Osmi će, samo u množini, s prijedlogom u označavati stanje na mjestu. U jednini se, naime, umjesto ovoga padeža služimo dativom s istim prijedlogom.</p><p>Treća su odrednica zasebni rodovi koji se pripisuju imenima: muški ili muževni, ženski ili ženstveni i srednji.</p><p>Prvi se pokazuje članom oví, hic kao oví gospodár móy naucèn [ovi gospodar moj naučen], hic dominus meus doctus. Drugi članom ová, haec kao ová devóyka moyà naucenna [ova devojka moja naučena], haec ancilla mea docta. Treći članom ovó, hoc kao ovó róbce moyè naucenno [ovo robče moje naučeno], hoc mancipium meum doctum.</p><p>Od tih triju nastaju u Latina zajednički oblici za dva i zajednički za tri roda. U nas se pak rijetko nalazi zajednički oblik za dva roda pred koji ćemo staviti oví i ová, hic et haec kao oví i ová pogláviça [poglavica], hic et haec princeps i tome slično.</p>"
23,"<p>O konjugacijama, načinima, vremenima i licima glagola bit će riječi na za njih predviđenom mjestu.</p><p>Imena imaju dva sastava: jednostavan kao mudàr, prudens; gospodìn, dominus; yerè [jere], quia i složen kao Isùkarst [Isukrst], Iesus Christus; sfemògi [svemogi] omnipotens; nigdár, nunquam.</p><p>I vrste imena su također dvije: ishodišna kao otàç [otac], pater i izvedena kao ocèv [očev], paternus.</p><p>O PRVOJ DEKLINACIJI IMENICE</p><p>Poglavlje II.</p><p>1. Ta prva deklinacija jest deklinacija imenica muškoga i srednjega roda. Neke imenice muškoga roda, i vlastite i opće, u nominativu uglavnom završavaju na jedan, dva ili tri suglasnika kao Isùs, Iesus; naucìtegl [naučitelj], magister; Kàrst [krst], Christus. Neke pak, osobito umanjenice, završavaju na samoglasnike e i o kao Pétre, Píro, Petrus; Márko, Marcus; Gárgo [Grgo], Gregorius.</p><p>Imenice srednjega roda uglavnom završavaju na e i o i one su opće kao vríme, tempus; sàrçe [srce], cor; nebbo, caelum i druge takve.</p><p>Genitiv jednine svima završava na a, dativ na u, akuzativ na a, vokativ na e ili nekima na o, ablativ na a</p>"
24,"<p>s prijedlogom od, koji može biti dodan i genitivu. Sedmi padež završava na in, om ili katkad na em s prijedlogom sa ili s’ ili bez njega.</p><p>2. Nominativ množine imenica muškog roda završava na i, srednjega roda na a. Genitiv imenica muškoga roda na ov, katkad na ev, aa /a/, ij /i/ ili a, i, srednjega roda na aa /a/ ili osobito na ij /i/. Dativ na im, om i nekada na in, em. Akuzativ imenica muškoga roda na i ili e, srednjega na a. Vokativ imenica muškoga roda na i, srednjega na a. Ablativ je sličan genitivu. Sedmi padež na imi i ima ili kod nekih na ij /i/. Osmi padež završava na ih.</p><p>PRVA DEKLINACIJA IMENICA</p><p>Prvi primjer</p><p>Vlastita nejednakosložna imenica</p><p>Jednina</p><p>Nom. oví 
  <form type=""inflectedForm"" xml:lang=""hr"">
  <orth>Isùs</orth>
  <gramGrp>
  <gram corresp=""#imenica"" type=""pos""/>
  <gram corresp=""#I_vlastita"" type=""nounType""/>
  <gram corresp=""#muski"" type=""gender""/>
  <gram corresp=""#jednina"" type=""number""/>
  <gram corresp=""#nominativ"" type=""case""/>
  <gram corresp=""#I_zivo"" type=""animacy""/>
  <gram corresp=""#I_a_sklonidba"" type=""inflectionType""/>
  </gramGrp>
  </form>
  hic Iesus</p><p>Gen. 
  <form type=""inflectedForm"" xml:lang=""hr"">
  <orth>Isùssa</orth>
  <gramGrp>
  <gram corresp=""#imenica"" type=""pos""/>
  <gram corresp=""#I_vlastita"" type=""nounType""/>
  <gram corresp=""#muski"" type=""gender""/>
  <gram corresp=""#jednina"" type=""number""/>
  <gram corresp=""#genitiv"" type=""case""/>
  <gram corresp=""#I_zivo"" type=""animacy""/>
  <gram corresp=""#I_a_sklonidba"" type=""inflectionType""/>
  </gramGrp>
  </form>
  Iesu</p><p>Dat. 
  <form type=""inflectedForm"" xml:lang=""hr"">
  <orth>Isùssu</orth>
  <gramGrp>
  <gram corresp=""#imenica"" type=""pos""/>
  <gram corresp=""#I_vlastita"" type=""nounType""/>
  <gram corresp=""#muski"" type=""gender""/>
  <gram corresp=""#jednina"" type=""number""/>
  <gram corresp=""#dativ"" type=""case""/>
  <gram corresp=""#I_zivo"" type=""animacy""/>
  <gram corresp=""#I_a_sklonidba"" type=""inflectionType""/>
  </gramGrp>
  </form> 
  Iesu</p><p>Ak. 
  <form type=""inflectedForm"" xml:lang=""hr"">
  <orth>Isùssa</orth>
  <gramGrp>
  <gram corresp=""#imenica"" type=""pos""/>
  <gram corresp=""#I_vlastita"" type=""nounType""/>
  <gram corresp=""#muski"" type=""gender""/>
  <gram corresp=""#jednina"" type=""number""/>
  <gram corresp=""#akuzativ"" type=""case""/>
  <gram corresp=""#I_zivo"" type=""animacy""/>
  <gram corresp=""#I_a_sklonidba"" type=""inflectionType""/>
  </gramGrp>
  </form> 
  Iesum</p><p>Vok. ò 
  <form type=""inflectedForm"" xml:lang=""hr"">
  <orth>Isùsse</orth>
  <gramGrp>
  <gram corresp=""#imenica"" type=""pos""/>
  <gram corresp=""#I_vlastita"" type=""nounType""/>
  <gram corresp=""#muski"" type=""gender""/>
  <gram corresp=""#jednina"" type=""number""/>
  <gram corresp=""#vokativ"" type=""case""/>
  <gram corresp=""#I_zivo"" type=""animacy""/>
  <gram corresp=""#I_a_sklonidba"" type=""inflectionType""/>
  </gramGrp>
  </form> 
  ò Iesu</p><p>Abl. od 
  <form type=""inflectedForm"" xml:lang=""hr"">
  <orth>Isùssa</orth>
  <gramGrp>
  <gram corresp=""#imenica"" type=""pos""/>
  <gram corresp=""#I_vlastita"" type=""nounType""/>
  <gram corresp=""#muski"" type=""gender""/>
  <gram corresp=""#jednina"" type=""number""/>
  <gram corresp=""#ablativ"" type=""case""/>
  <gram corresp=""#I_zivo"" type=""animacy""/>
  <gram corresp=""#I_a_sklonidba"" type=""inflectionType""/>
  </gramGrp>
  </form> 
  à Iesu</p><p>Sedmi s 
  <form type=""inflectedForm"" xml:lang=""hr"">
  <orth>Isùssom</orth>
  <gramGrp>
  <gram corresp=""#imenica"" type=""pos""/>
  <gram corresp=""#I_vlastita"" type=""nounType""/>
  <gram corresp=""#muski"" type=""gender""/>
  <gram corresp=""#jednina"" type=""number""/>
  <gram corresp=""#instrumental"" type=""case""/>
  <gram corresp=""#I_zivo"" type=""animacy""/>
  <gram corresp=""#I_a_sklonidba"" type=""inflectionType""/>
  </gramGrp>
  </form>ili
  <form expand=""Isussem"" type=""inflectedForm"" xml:lang=""hr"">
  <orth>em</orth>
  <gramGrp>
  <gram corresp=""#imenica"" type=""pos""/>
  <gram corresp=""#I_vlastita"" type=""nounType""/>
  <gram corresp=""#muski"" type=""gender""/>
  <gram corresp=""#jednina"" type=""number""/>
  <gram corresp=""#instrumental"" type=""case""/>
  <gram corresp=""#I_zivo"" type=""animacy""/>
  <gram corresp=""#I_a_sklonidba"" type=""inflectionType""/>
  </gramGrp>
  </form> 
  cum Iesu</p>"
